restaurant_name,location,cuisines,cost_for_two,rating,cuisine_tags,quality_score
Sapid,Bannerghatta Road,North Indian,,,North Indian,1
Sapid.in,Bannerghatta Road,North Indian,,,North Indian,1
Hotel Muthu,Bannerghatta Road,South Indian,,,South Indian,1
Orlando's Pizzeria,Bannerghatta Road,"Pizza, Italian, Desserts",,,"Pizza,Italian,Desserts",1
Snackiey,Bannerghatta Road,North Indian,,,North Indian,1
Hotel Shyam Mangalam & Catering Service,Bannerghatta Road,"South Indian, North Indian, Oriya",,,"South Indian,North Indian,Oriya",1
Sheer Kurma,Bannerghatta Road,Desserts,,,Desserts,1
Thalassery Food Court,Bannerghatta Road,"Chinese, Kerala",,,"Chinese,Kerala",1
House Of Candy,Bannerghatta Road,Desserts,,,Desserts,1
Oye Bubly,Bannerghatta Road,Fast Food,,,Fast Food,1
Doddamma Devi Juice & Chats Centre,Bannerghatta Road,"Chinese, Street Food, Juices",,,"Chinese,Street Food,Juices",1
Kabab Corner,Bannerghatta Road,"Arabian, Chinese, Kerala",,,"Arabian,Chinese,Kerala",1
Sandwich Mamas,Bannerghatta Road,Fast Food,,,Fast Food,1
The Shake Factory Originals,Bannerghatta Road,"Beverages, Fast Food",,,"Beverages,Fast Food",1
Foodiction,Bannerghatta Road,"North Indian, Fast Food, Chinese, Burger",,,"North Indian,Fast Food,Chinese,Burger",1
Hotel Lakshmi Paradise,Bannerghatta Road,"North Indian, Mughlai",,,"North Indian,Mughlai",1
Kamat,Bannerghatta Road,"South Indian, Fast Food",,,"South Indian,Fast Food",1
Jugz Cafe,Bannerghatta Road,South Indian,,,South Indian,1
Taste Of Home,Bannerghatta Road,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
The Punjabi Tadka,Bannerghatta Road,North Indian,,,North Indian,1
Desi Bites,Bannerghatta Road,Street Food,,,Street Food,1
Shiv Sai,Bannerghatta Road,North Indian,,,North Indian,1
Dastarkhan,Bannerghatta Road,Mughlai,,,Mughlai,1
Sri Banashankari Biryani Kabab Centre,Bannerghatta Road,"Biryani, Fast Food",,,"Biryani,Fast Food",1
The Sandesh Factory,Bannerghatta Road,"Mithai, Desserts",,,"Mithai,Desserts",1
Adi's Cake N Cafe,Bannerghatta Road,Bakery,,,Bakery,1
D Fusion,Bannerghatta Road,"Fast Food, Chinese",,,"Fast Food,Chinese",1
The Right Moo Organic Icecreams,Bannerghatta Road,Desserts,,,Desserts,1
Swad Family Restaurant,Bannerghatta Road,"North Indian, Chinese",,,"North Indian,Chinese",1
Bread & Better,Bannerghatta Road,"Bakery, Fast Food",,,"Bakery,Fast Food",1
Papa Khan Biryani,Bannerghatta Road,"Biryani, Mughlai",,,"Biryani,Mughlai",1
Vah Biryani,Bannerghatta Road,"Biryani, Chinese",,,"Biryani,Chinese",1
9 Tea,Bannerghatta Road,"South Indian, Street Food, Tea",,,"South Indian,Street Food,Tea",1
Gobble Up,Bannerghatta Road,"Chinese, Street Food",,,"Chinese,Street Food",1
Sri Annalakshmi,Bannerghatta Road,"South Indian, North Indian",,,"South Indian,North Indian",1
Magadh Jalpan,Bannerghatta Road,Street Food,,,Street Food,1
Annam Ilaiyil,Bannerghatta Road,South Indian,,,South Indian,1
Kopper Pot,Bannerghatta Road,Bakery,,,Bakery,1
Chillax Point,Bannerghatta Road,"North Indian, Chinese",,,"North Indian,Chinese",1
Little Sweetooth,Bannerghatta Road,Bakery,,,Bakery,1
Tandoor Plaza,Bannerghatta Road,North Indian,,,North Indian,1
Chef Snow,Bannerghatta Road,"North Indian, Chinese",,,"North Indian,Chinese",1
Northway Cuisine,Bannerghatta Road,"North Indian, Chinese",,,"North Indian,Chinese",1
Udupi Biriyani Point,Bannerghatta Road,"North Indian, South Indian",,,"North Indian,South Indian",1
Fresh Code,Bannerghatta Road,"Chinese, North Indian",,,"Chinese,North Indian",1
A-1 Chicken Biriyani & Kababs,Bannerghatta Road,Mughlai,,,Mughlai,1
The Ocean Kitchen,Bannerghatta Road,"North Indian, Chinese, Seafood, South Indian",,,"North Indian,Chinese,Seafood,South Indian",1
Smooth,Bannerghatta Road,"Desserts, Ice Cream",,,"Desserts,Ice Cream",1
Om Nom Thai,South Bangalore,"Thai, Momos",,,"Thai,Momos",1
The Juicy,Jp Nagar,"Beverages, Juices",,,"Beverages,Juices",1
Feast and Burp,Bannerghatta Road,North Indian,,,North Indian,1
Mr Shawarma,Bannerghatta Road,Fast Food,,,Fast Food,1
Chocolate Junction,Bannerghatta Road,Desserts,,,Desserts,1
Pohawala,Bannerghatta Road,Fast Food,,,Fast Food,1
Zengi Pub & Restaurant,Btm,"Finger Food, Continental, Chinese",,,"Finger Food,Continental,Chinese",1
Cafe Indiana,Bannerghatta Road,"Fast Food, Desserts",,,"Fast Food,Desserts",1
Stajasia Ahara,Bannerghatta Road,Mexican,,,Mexican,1
Zainee Home food,Bannerghatta Road,North Indian,,,North Indian,1
Pumpkin Food Workshop,Bannerghatta Road,"Chinese, North Indian, South Indian",,,"Chinese,North Indian,South Indian",1
Ammi's Biryani,Bannerghatta Road,"Biryani, North Indian",,,"Biryani,North Indian",1
Multi Cakes,Bannerghatta Road,"Bakery, Desserts",,,"Bakery,Desserts",1
Bhukkad,Bannerghatta Road,"Healthy Food, Fast Food",,,"Healthy Food,Fast Food",1
WOW Laddus,Jp Nagar,Mithai,,,Mithai,1
Ambur Hotel,Bannerghatta Road,South Indian,,,South Indian,1
Malhar Maharashtrian Cuisine,Bannerghatta Road,Maharashtrian,,,Maharashtrian,1
Mandi,Jp Nagar,North Indian,,,North Indian,1
Pallavi North Indian Veg Restaurant,Jp Nagar,"Biryani, North Indian, Chinese",,,"Biryani,North Indian,Chinese",1
Restro Cafe,Jayanagar,Cafe,,,Cafe,1
Idly Pidly,Bannerghatta Road,South Indian,,,South Indian,1
Vasudev Adiga's,Bannerghatta Road,"South Indian, North Indian, Chinese, Street Food, Juices",,,"South Indian,North Indian,Chinese,Street Food,Juices",1
The Biryani House,Jp Nagar,Andhra,,,Andhra,1
TGI Fridays,Bannerghatta Road,"American, Burger, Italian, Steak",,,"American,Burger,Italian,Steak",1
Earth Plate Express,Jp Nagar,"Italian, Continental",,,"Italian,Continental",1
Gharelu Zaika,Jp Nagar,North Indian,,,North Indian,1
Sardarji Londonwaley,Bannerghatta Road,North Indian,,,North Indian,1
Apsara Ice Cream,Bannerghatta Road,"Ice Cream, Desserts",,,"Ice Cream,Desserts",1
Jiyo Natural,South Bangalore,"Healthy Food, North Indian",,,"Healthy Food,North Indian",1
Suji's Kitchen,Jp Nagar,"South Indian, North Indian",,,"South Indian,North Indian",1
Delicious Night,Jp Nagar,"Biryani, Chinese, Fast Food",,,"Biryani,Chinese,Fast Food",1
Zyksha,South Bangalore,Fast Food,,,Fast Food,1
Biryani Times,Jp Nagar,Biryani,,,Biryani,1
Hotel Sri Annapoorneshwari Vegetarian,Bommanahalli,"Andhra, South Indian, Fast Food",,,"Andhra,South Indian,Fast Food",1
KHANAPUR TIFFINS,South Bangalore,"North Indian, Rajasthani",,,"North Indian,Rajasthani",1
Sambram,Jp Nagar,"Biryani, North Indian",,,"Biryani,North Indian",1
Targaryen's Kitchen,Jp Nagar,"Chinese, North Indian, Mughlai",,,"Chinese,North Indian,Mughlai",1
Sakshi,Bannerghatta Road,"North Indian, Biryani, Chinese, Seafood",,,"North Indian,Biryani,Chinese,Seafood",1
MK Dabbawala,Bannerghatta Road,North Indian,,,North Indian,1
Desi Vibes,Btm,North Indian,,,North Indian,1
Polar Bear,Cv Raman Nagar,Ice Cream,,,Ice Cream,1
Aman Chaat's And Fast Food Corner,Bannerghatta Road,"North Indian, Chinese",,,"North Indian,Chinese",1
The French Loaf,Bannerghatta Road,"Bakery, Desserts, Sandwich",,,"Bakery,Desserts,Sandwich",1
Kulfi & More,Btm,"Ice Cream, Desserts, Juices",,,"Ice Cream,Desserts,Juices",1
Dal Roti,Jp Nagar,North Indian,,,North Indian,1
Jhasaa,Btm,"Seafood, Salad, North Indian, Biryani, Chinese",,,"Seafood,Salad,North Indian,Biryani,Chinese",1
Wat-a-Biryani,Kumaraswamy Layout,Biryani,,,Biryani,1
Status,Bannerghatta Road,"North Indian, Chinese",,,"North Indian,Chinese",1
Juice Fresco & Pizza,Jp Nagar,"Beverages, Pizza",,,"Beverages,Pizza",1
BMR Hyderabad Biryani,Btm,Biryani,,,Biryani,1
Red Chilli,Btm,"Chinese, Biryani",,,"Chinese,Biryani",1
Dakshin Food Palace,Jp Nagar,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
Darjeeling Momo Adda,Bannerghatta Road,"Chinese, Tibetan, North Indian, Momos",,,"Chinese,Tibetan,North Indian,Momos",1
Bottle Breacher,Jp Nagar,"Italian, Continental",,,"Italian,Continental",1
Special Biriyani,Jp Nagar,"North Indian, Biryani",,,"North Indian,Biryani",1
Ministry of Burger,Electronic City,Continental,,,Continental,1
Delhi Food Factory,Jp Nagar,North Indian,,,North Indian,1
The Tucck Box,Jp Nagar,"Chinese, South Indian",,,"Chinese,South Indian",1
Swad Plaza,Btm,"North Indian, Chinese",,,"North Indian,Chinese",1
Just Bite@Late Night,Btm,"Sandwich, Fast Food, Burger, Rolls",,,"Sandwich,Fast Food,Burger,Rolls",1
Sweet Chariot,Bannerghatta Road,"Bakery, Desserts, Fast Food",,,"Bakery,Desserts,Fast Food",1
Sri Balaji Chats and Icecreams,Bommanahalli,Fast Food,,,Fast Food,1
Desi Aahar,Btm,"North Indian, Chinese, Seafood",,,"North Indian,Chinese,Seafood",1
Bhojan@99,Bannerghatta Road,Fast Food,,,Fast Food,1
Kesariya,Jp Nagar,Rajasthani,,,Rajasthani,1
Swad Restaurant,Btm,"Chinese, North Indian",,,"Chinese,North Indian",1
Checkpost,Jp Nagar,"South Indian, Seafood, Rolls, Beverages",,,"South Indian,Seafood,Rolls,Beverages",1
Nourich,Jp Nagar,"Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",,,"Continental,Chinese,North Indian,Asian,Healthy Food,Fast Food",1
Karavali Grand,Jp Nagar,"North Indian, Seafood",,,"North Indian,Seafood",1
Nandhini Paradise,Jp Nagar,North Indian,,,North Indian,1
New Kabab Plaza,Btm,"North Indian, Chinese",,,"North Indian,Chinese",1
Coastal Mama,Jp Nagar,"Konkan, Mangalorean, North Indian, Seafood",,,"Konkan,Mangalorean,North Indian,Seafood",1
Wudfyr,Jp Nagar,"Fast Food, Italian, North Indian, Steak",,,"Fast Food,Italian,North Indian,Steak",1
Waah Biryani,Jp Nagar,"North Indian, Chinese, Biryani",,,"North Indian,Chinese,Biryani",1
Rara Avis,Jp Nagar,"Kerala, Seafood, Biryani, Desserts",,,"Kerala,Seafood,Biryani,Desserts",1
Chillz,Jp Nagar,"Fast Food, Juices, Street Food",,,"Fast Food,Juices,Street Food",1
Sri Lakshmi Curries & Pickles,Jp Nagar,"Andhra, Biryani",,,"Andhra,Biryani",1
Baskin Robbins,Jp Nagar,Ice Cream,,,Ice Cream,1
The Punjabi Rasoi,Jp Nagar,North Indian,,,North Indian,1
Royal Chef Naati Oota,Jp Nagar,"South Indian, Biryani, North Indian",,,"South Indian,Biryani,North Indian",1
The Crazy Wall,Jp Nagar,"Fast Food, Beverages, Sandwich",,,"Fast Food,Beverages,Sandwich",1
Vasantha Grand,Jp Nagar,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
Cafe Hops,Jp Nagar,"Desserts, Bakery",,,"Desserts,Bakery",1
Flow - Terrace Bar & Grill,Jp Nagar,"Pizza, Continental, North Indian, Chinese",,,"Pizza,Continental,North Indian,Chinese",1
Ningi Family Restaurant,Jp Nagar,"South Indian, Biryani, Chinese",,,"South Indian,Biryani,Chinese",1
Lassi Corner,Jp Nagar,"Beverages, Desserts",,,"Beverages,Desserts",1
Advika Briyani Center,Jp Nagar,Biryani,,,Biryani,1
Chill Magic,Jp Nagar,"Juices, Beverages",,,"Juices,Beverages",1
Sai Jagannath Food and Chats Point,Bommanahalli,"South Indian, Chinese",,,"South Indian,Chinese",1
Joey's,Btm,"Chinese, Fast Food",,,"Chinese,Fast Food",1
Sree Krishna Kafe,Jp Nagar,South Indian,,,South Indian,1
Dilish Kitchens,Btm,"North Indian, Chinese",,,"North Indian,Chinese",1
Daily Bread,Jp Nagar,"Bakery, Fast Food, Italian",,,"Bakery,Fast Food,Italian",1
Shanmukha,Jp Nagar,"Biryani, Seafood, Chinese, Charcoal Chicken",,,"Biryani,Seafood,Chinese,Charcoal Chicken",1
Jaganath Restaurant And Hotel,Jp Nagar,North Indian,,,North Indian,1
Thayee Touch,Jp Nagar,"North Indian, Chinese, South Indian",,,"North Indian,Chinese,South Indian",1
Eten,Jp Nagar,"Salad, Healthy Food",,,"Salad,Healthy Food",1
Owl's Kitchen,Btm,"North Indian, Chinese",,,"North Indian,Chinese",1
Kakal Kai Ruchi,Jp Nagar,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
Blue Berry Restaurant,Btm,"North Indian, Kerala, Chinese",,,"North Indian,Kerala,Chinese",1
Bangali Babu Restaurant,Btm,"Mithai, Desserts, Fast Food",,,"Mithai,Desserts,Fast Food",1
Donne Biriyani Mane,Jp Nagar,"Biryani, Kebab",,,"Biryani,Kebab",1
Sri Brahmi Kuteera,Jp Nagar,South Indian,,,South Indian,1
Deccan Spice,Jp Nagar,"North Indian, South Indian, Biryani",,,"North Indian,South Indian,Biryani",1
Desi Wok,Btm,"North Indian, Chinese",,,"North Indian,Chinese",1
Namana Garden,Btm,"North Indian, South Indian, Chinese, Street Food",,,"North Indian,South Indian,Chinese,Street Food",1
Day N Night Kitchen,Btm,"Biryani, Chinese, North Indian",,,"Biryani,Chinese,North Indian",1
Andhra Grills,Jp Nagar,"Andhra, North Indian, Biryani",,,"Andhra,North Indian,Biryani",1
Appam Centre,Jp Nagar,Kerala,,,Kerala,1
The Chef Restaurant,Btm,"North Indian, Chinese, South Indian",,,"North Indian,Chinese,South Indian",1
Sea Horse,Jp Nagar,"South Indian, Chinese",,,"South Indian,Chinese",1
Sang Grail,Jp Nagar,Healthy Food,,,Healthy Food,1
Spice Taj,Btm,"North Indian, Chinese",,,"North Indian,Chinese",1
Cakeship,Jp Nagar,"Bakery, Desserts",,,"Bakery,Desserts",1
Hungry Hub,Jp Nagar,Fast Food,,,Fast Food,1
Sweet Melts,Jp Nagar,"Desserts, Ice Cream",,,"Desserts,Ice Cream",1
Chat Junction,Jp Nagar,"Street Food, Fast Food",,,"Street Food,Fast Food",1
New Nandan Family Restaurant,Jp Nagar,"Andhra, Chinese, North Indian, South Indian",,,"Andhra,Chinese,North Indian,South Indian",1
Udupi Thadka,Btm,"South Indian, Chinese, North Indian",,,"South Indian,Chinese,North Indian",1
Arzak,Jp Nagar,"Arabian, Middle Eastern, Rolls, Seafood, Bbq",,,"Arabian,Middle Eastern,Rolls,Seafood,Bbq",1
Petoo,Jp Nagar,"North Indian, Fast Food, Street Food",,,"North Indian,Fast Food,Street Food",1
Night Panda,Jp Nagar,"Fast Food, North Indian, Chinese",,,"Fast Food,North Indian,Chinese",1
Spicy Grill,Jp Nagar,"Chinese, Fast Food",,,"Chinese,Fast Food",1
E2 - EntrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©e Envoy,Btm,"Chinese, North Indian, Biryani",,,"Chinese,North Indian,Biryani",1
Aha Juice Bar,Btm,"Beverages, Fast Food",,,"Beverages,Fast Food",1
Cafe Club Kerala Restaurant,Btm,Kerala,,,Kerala,1
Cake N Cookies,Jp Nagar,Bakery,,,Bakery,1
Bright Go Nuts,Jp Nagar,Drinks Only,,,Drinks Only,1
Hotel Namadhari,Jp Nagar,"South Indian, Chinese",,,"South Indian,Chinese",1
Nammuru Nati Hotel,Jp Nagar,South Indian,,,South Indian,1
3ice Cubes,Jp Nagar,"Juices, Sandwich, Street Food",,,"Juices,Sandwich,Street Food",1
Tasty Restaurant,Jp Nagar,"Kerala, South Indian, Chinese",,,"Kerala,South Indian,Chinese",1
Hotel Ambara,Jp Nagar,South Indian,,,South Indian,1
Biryani Treat,Jp Nagar,Biryani,,,Biryani,1
Best Biryani,Jp Nagar,"North Indian, Biryani, Desserts",,,"North Indian,Biryani,Desserts",1
Innate,Jp Nagar,Beverages,,,Beverages,1
Tandoori Spot,Jp Nagar,"North Indian, Chinese",,,"North Indian,Chinese",1
Night Hunger,Jp Nagar,North Indian,,,North Indian,1
Santhrupthi Halli Mane,Btm,"North Indian, Chinese, South Indian",,,"North Indian,Chinese,South Indian",1
Iyengar's Bakery,Jp Nagar,"Bakery, Fast Food",,,"Bakery,Fast Food",1
Nutri Fit,Jp Nagar,Healthy Food,,,Healthy Food,1
Padosi Apke Apne,Jp Nagar,"South Indian, Chinese, North Indian",,,"South Indian,Chinese,North Indian",1
Grill On Wheels,Jp Nagar,"North Indian, Chinese, Bbq, Arabian, Fast Food",,,"North Indian,Chinese,Bbq,Arabian,Fast Food",1
Charcoal Flame,Jp Nagar,"Awadhi, Biryani",,,"Awadhi,Biryani",1
Chicken Dera,Jp Nagar,"Mughlai, Kebab, Biryani",,,"Mughlai,Kebab,Biryani",1
Cocoa 'n' CrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¨me,Jp Nagar,"Bakery, Desserts",,,"Bakery,Desserts",1
Spicyzone Restaurant,Bommanahalli,"North Indian, Chinese, Mughlai, Biryani",,,"North Indian,Chinese,Mughlai,Biryani",1
Sri Shyam Sweets & Snacks,Jp Nagar,"Fast Food, Street Food",,,"Fast Food,Street Food",1
Hunger Nights,Jp Nagar,"Chinese, North Indian",,,"Chinese,North Indian",1
Kivona's Kitchen,Btm,North Indian,,,North Indian,1
Bake The Cake,Bommanahalli,Bakery,,,Bakery,1
Dhe Chef Cafe,Btm,"North Indian, Rolls",,,"North Indian,Rolls",1
Desi Jalpaan,Jp Nagar,"Street Food, North Indian",,,"Street Food,North Indian",1
Arabian Nights,Jp Nagar,"Mughlai, Biryani, Kebab",,,"Mughlai,Biryani,Kebab",1
Soul Curries,Jp Nagar,South Indian,,,South Indian,1
It's My Meal Food Service,Hsr,"North Indian, Chinese",,,"North Indian,Chinese",1
Udupi Park Inn,Jp Nagar,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
Thirsty Tiger,Jp Nagar,"Continental, Finger Food",,,"Continental,Finger Food",1
Bay Root,Btm,"North Indian, Arabian",,,"North Indian,Arabian",1
BTM Cakes,Btm,"Bakery, Desserts",,,"Bakery,Desserts",1
Spicy World,Jp Nagar,North Indian,,,North Indian,1
Super Chef's (New Royal treat),Bannerghatta Road,"North Indian, Chinese, South Indian",,,"North Indian,Chinese,South Indian",1
Moms Flavor,Jp Nagar,"North Indian, Chinese",,,"North Indian,Chinese",1
Kamat Swaad,Jp Nagar,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
Ishta Cafe,Bannerghatta Road,"Pizza, South Indian, Healthy Food",,,"Pizza,South Indian,Healthy Food",1
Combo Studio,Bannerghatta Road,"North Indian, Biryani, Chinese",,,"North Indian,Biryani,Chinese",1
Tastte!!,Bannerghatta Road,"Biryani, North Indian, Chinese",,,"Biryani,North Indian,Chinese",1
Kanhaiyas,Bannerghatta Road,South Indian,,,South Indian,1
Juice Lounge,Btm,"Beverages, Healthy Food",,,"Beverages,Healthy Food",1
Sri Krishna Delight,Btm,"North Indian, South Indian",,,"North Indian,South Indian",1
Mumbai Kulfi,Marathahalli,"Desserts, Ice Cream",,,"Desserts,Ice Cream",1
Tandoor Nation,Btm,"North Indian, Chinese",,,"North Indian,Chinese",1
Indian Kitchen Eateries-IKE,Btm,Fast Food,,,Fast Food,1
South Mouth,Bannerghatta Road,"North Indian, Fast Food",,,"North Indian,Fast Food",1
The Little Kitchen,Jp Nagar,"Chinese, North Indian",,,"Chinese,North Indian",1
Diya's Findish,Bommanahalli,"North Indian, Chinese, Bengali",,,"North Indian,Chinese,Bengali",1
Best Shawarmas,Btm,Rolls,,,Rolls,1
Laa Raiba Restaurant,Bannerghatta Road,"Kerala, Chinese, South Indian",,,"Kerala,Chinese,South Indian",1
Bhavani Upahara,Bannerghatta Road,South Indian,,,South Indian,1
Sampoorna,Jp Nagar,"Chinese, North Indian",,,"Chinese,North Indian",1
Cafe Mist,Jp Nagar,"Cafe, American, Continental, Italian",,,"Cafe,American,Continental,Italian",1
Fat Chef Biryani Wale,Bannerghatta Road,"Biryani, North Indian",,,"Biryani,North Indian",1
Kesar Restaurant,Jp Nagar,"North Indian, Chinese, South Indian",,,"North Indian,Chinese,South Indian",1
Hottey Smokey,Jp Nagar,"American, Continental, Salad, Italian",,,"American,Continental,Salad,Italian",1
The Duke of Juices,Jp Nagar,"Juices, Beverages, Salad",,,"Juices,Beverages,Salad",1
Kababji Cafe,Jp Nagar,"Arabian, Middle Eastern, Rolls",,,"Arabian,Middle Eastern,Rolls",1
Navab's,Kumaraswamy Layout,"North Indian, Chinese",,,"North Indian,Chinese",1
Bottle Genie,Jp Nagar,Beverages,,,Beverages,1
Chawla's 2 Online.com,Jp Nagar,North Indian,,,North Indian,1
Namma Halli Jonne Biryani,Bannerghatta Road,Biryani,,,Biryani,1
Shake The Shake,Bannerghatta Road,Juices,,,Juices,1
The Biriyani Factory,Btm,"North Indian, Biryani",,,"North Indian,Biryani",1
Sethi's,Jp Nagar,"North Indian, Chinese, Bbq",,,"North Indian,Chinese,Bbq",1
Food Singh,Jp Nagar,North Indian,,,North Indian,1
Insta Cafe,Btm,"Cafe, Continental, Pizza, Italian, Beverages",,,"Cafe,Continental,Pizza,Italian,Beverages",1
Chination,Jp Nagar,Chinese,,,Chinese,1
The Breakfast Adda,Bannerghatta Road,Continental,,,Continental,1
Amma's Pastries,Bannerghatta Road,Bakery,,,Bakery,1
Polar Bear,Bannerghatta Road,"Ice Cream, Desserts, Beverages, Sandwich",,,"Ice Cream,Desserts,Beverages,Sandwich",1
World on a Swirl,Bannerghatta Road,"Ice Cream, Desserts, Rolls",,,"Ice Cream,Desserts,Rolls",1
Kanti Sweets,Bannerghatta Road,"Mithai, Street Food",,,"Mithai,Street Food",1
Baskin Robbins,Bannerghatta Road,"Ice Cream, Desserts",,,"Ice Cream,Desserts",1
Lassi Shop,Bannerghatta Road,"Beverages, Ice Cream",,,"Beverages,Ice Cream",1
L J Iyengar Bakery,Bannerghatta Road,Bakery,,,Bakery,1
Nandhana Mithai,Bannerghatta Road,"Mithai, Desserts",,,"Mithai,Desserts",1
Ice Bowl,Bannerghatta Road,"Desserts, Beverages",,,"Desserts,Beverages",1
Ooty Dreams,Bannerghatta Road,"Desserts, Ice Cream",,,"Desserts,Ice Cream",1
K.C Das,Bannerghatta Road,"Mithai, Street Food",,,"Mithai,Street Food",1
Mr Gola,Bannerghatta Road,Desserts,,,Desserts,1
Orchard Fresh,Bannerghatta Road,"Ice Cream, Desserts",,,"Ice Cream,Desserts",1
Rock On Rolls & Parathas,Bannerghatta Road,Rolls,,,Rolls,1
Frosty Creams,South Bangalore,"Ice Cream, Desserts",,,"Ice Cream,Desserts",1
Squeez Juice Bars,Bannerghatta Road,"Ice Cream, Juices",,,"Ice Cream,Juices",1
Kulfi Adda,Bannerghatta Road,"Ice Cream, Desserts",,,"Ice Cream,Desserts",1
Food Prade Dairy Delight,Bannerghatta Road,Desserts,,,Desserts,1
Me And My Cake,Bannerghatta Road,"Bakery, Desserts",,,"Bakery,Desserts",1
Bowring Kulfi,Bannerghatta Road,"Ice Cream, Desserts",,,"Ice Cream,Desserts",1
Oven Fresh,Bannerghatta Road,"Bakery, Fast Food",,,"Bakery,Fast Food",1
Amma's Pastries,Jp Nagar,Desserts,,,Desserts,1
Cakes And Crumbs,Jp Nagar,Bakery,,,Bakery,1
Cream Stone,Jp Nagar,"Desserts, Beverages",,,"Desserts,Beverages",1
The Cake Zone,Jp Nagar,Bakery,,,Bakery,1
Venkateshwara Sweets and Restaurant,Jp Nagar,"South Indian, Mithai, Chinese, North Indian",,,"South Indian,Mithai,Chinese,North Indian",1
Calvin's,Jp Nagar,"Desserts, Italian, Pizza",,,"Desserts,Italian,Pizza",1
Mini Forest,Jp Nagar,"Fast Food, Desserts",,,"Fast Food,Desserts",1
Kulfi & More,Jp Nagar,"Ice Cream, Desserts, Juices",,,"Ice Cream,Desserts,Juices",1
Delhi Sweets,Jp Nagar,"Street Food, Mithai",,,"Street Food,Mithai",1
DG Juice Club,Jp Nagar,"Beverages, Desserts",,,"Beverages,Desserts",1
Wow Lassi House,Btm,"Beverages, Desserts",,,"Beverages,Desserts",1
Whisk' N Creme',Btm,Bakery,,,Bakery,1
Veruthe Oru Thattukada,Bannerghatta Road,"Kerala, South Indian",,,"Kerala,South Indian",1
A2B - Adyar Ananda Bhavan,Bannerghatta Road,"South Indian, North Indian, Chinese, Street Food",,,"South Indian,North Indian,Chinese,Street Food",1
Beijing Bites,Bannerghatta Road,"Chinese, Thai",,,"Chinese,Thai",1
Kabab Magic,Bannerghatta Road,"North Indian, Kebab, Chinese, Fast Food",,,"North Indian,Kebab,Chinese,Fast Food",1
Guru Paradise,Bannerghatta Road,"Chinese, South Indian, North Indian",,,"Chinese,South Indian,North Indian",1
Diletto,Bannerghatta Road,"North Indian, Chinese",,,"North Indian,Chinese",1
Terrace Lounge,Bannerghatta Road,"North Indian, Chinese, Seafood",,,"North Indian,Chinese,Seafood",1
Utsav Restaurant,Bannerghatta Road,"North Indian, Chinese, Italian, South Indian",,,"North Indian,Chinese,Italian,South Indian",1
Fresh Lemon Soda,Bannerghatta Road,"Beverages, Street Food",,,"Beverages,Street Food",1
Hotel Green Way,Bannerghatta Road,"North Indian, South Indian, Chinese",,,"North Indian,South Indian,Chinese",1
Hunger Restaurant,Bannerghatta Road,South Indian,,,South Indian,1
Sri Annapurneswari Hotel,Bannerghatta Road,"South Indian, Chinese",,,"South Indian,Chinese",1
Sai Abhiruchi,Bannerghatta Road,"Andhra, North Indian, Biryani",,,"Andhra,North Indian,Biryani",1
Purani Dilli By Anand Sweets,Bannerghatta Road,"North Indian, Continental, Street Food",,,"North Indian,Continental,Street Food",1
KFC,Bannerghatta Road,"Burger, Fast Food",,,"Burger,Fast Food",1
Ingu Tengu,Bannerghatta Road,South Indian,,,South Indian,1
Green Onion,Bannerghatta Road,Chinese,,,Chinese,1
Chaitanya Grand,Bannerghatta Road,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
More Pizza,Bannerghatta Road,Italian,,,Italian,1
Spar Refresh,Bannerghatta Road,"North Indian, South Indian, Pizza",,,"North Indian,South Indian,Pizza",1
Marhaba,Bannerghatta Road,"Arabian, Mediterranean, North Indian",,,"Arabian,Mediterranean,North Indian",1
Manjushree Veg,Bannerghatta Road,"South Indian, Chinese",,,"South Indian,Chinese",1
Sai Shiv Sagar,Bannerghatta Road,"South Indian, North Indian",,,"South Indian,North Indian",1
Tiwari's,Bannerghatta Road,"North Indian, Street Food",,,"North Indian,Street Food",1
Pizza Hut,Bannerghatta Road,Pizza,,,Pizza,1
Pathaan Sir,Bannerghatta Road,"Fast Food, Rolls, Momos",,,"Fast Food,Rolls,Momos",1
Thrupthi Restaurant,Bannerghatta Road,Kerala,,,Kerala,1
Panchami Garden,Bannerghatta Road,"South Indian, North Indian",,,"South Indian,North Indian",1
Santrupti Sagar,Bannerghatta Road,"South Indian, Fast Food, North Indian",,,"South Indian,Fast Food,North Indian",1
SLV Kabab Centre,Bannerghatta Road,"Biryani, Fast Food",,,"Biryani,Fast Food",1
Juicy Hut,Bannerghatta Road,"Juices, Fast Food",,,"Juices,Fast Food",1
Loca Moca - The Indian Grub,Bannerghatta Road,"North Indian, Biryani",,,"North Indian,Biryani",1
